period_id,TimeStep,weight
0,143,10.0
0,144,10.0
0,145,10.0
0,146,10.0
0,147,10.0
0,148,10.0
0,149,10.0
0,150,10.0
0,151,10.0
0,152,10.0
0,153,10.0
0,154,10.0
0,155,10.0
0,156,10.0
0,157,10.0
0,158,10.0
0,159,10.0
0,160,10.0
0,161,10.0
0,162,10.0
0,163,10.0
0,164,10.0
0,165,10.0
0,166,10.0
0,167,10.0
1,0,8.0
1,1,8.0
1,2,8.0
1,3,8.0
1,4,8.0
1,5,8.0
1,6,8.0
1,7,8.0
1,8,8.0
1,9,8.0
1,10,8.0
1,11,8.0
1,12,8.0
1,13,8.0
1,14,8.0
1,15,8.0
1,16,8.0
1,17,8.0
1,18,8.0
1,19,8.0
1,20,8.0
1,21,8.0
1,22,8.0
1,23,8.0
1,24,8.0
1,25,8.0
1,26,8.0
1,27,8.0
1,28,8.0
1,29,8.0
1,30,8.0
1,31,8.0
1,32,8.0
1,33,8.0
1,34,8.0
1,35,8.0
1,36,8.0
1,37,8.0
1,38,8.0
1,39,8.0
1,40,8.0
1,41,8.0
1,42,8.0
1,43,8.0
1,44,8.0
1,45,8.0
1,46,8.0
1,47,8.0
1,48,8.0
1,49,8.0
1,50,8.0
1,51,8.0
1,52,8.0
1,53,8.0
1,54,8.0
1,55,8.0
1,56,8.0
1,57,8.0
1,58,8.0
1,59,8.0
1,60,8.0
1,61,8.0
1,62,8.0
1,63,8.0
1,64,8.0
1,65,8.0
1,66,8.0
1,67,8.0
1,68,8.0
1,69,8.0
1,70,8.0
1,71,8.0
1,72,8.0
1,73,8.0
1,74,8.0
1,75,8.0
1,76,8.0
1,77,8.0
1,78,8.0
1,79,8.0
1,80,8.0
1,81,8.0
1,82,8.0
1,83,8.0
1,84,8.0
1,85,8.0
1,86,8.0
1,87,8.0
1,88,8.0
1,89,8.0
1,90,8.0
1,91,8.0
1,92,8.0
1,93,8.0
1,94,8.0
1,95,8.0
1,96,8.0
1,97,8.0
1,98,8.0
1,99,8.0
1,100,8.0
1,101,8.0
1,102,8.0
1,103,8.0
1,104,8.0
1,105,8.0
1,106,8.0
1,107,8.0
1,108,8.0
1,109,8.0
1,110,8.0
1,111,8.0
1,112,8.0
1,113,8.0
1,114,8.0
1,115,8.0
1,116,8.0
1,117,8.0
1,118,8.0
1,119,8.0
1,120,8.0
1,121,8.0
1,122,8.0
1,123,8.0
1,124,8.0
1,125,8.0
1,126,8.0
1,127,8.0
1,128,8.0
1,129,8.0
1,130,8.0
1,131,8.0
1,132,8.0
1,133,8.0
1,134,8.0
1,135,8.0
1,136,8.0
1,137,8.0
1,138,8.0
1,139,8.0
1,140,8.0
1,141,8.0
1,142,8.0
1,143,8.0
1,144,8.0
1,145,8.0
1,146,8.0
1,147,8.0
1,148,8.0
1,149,8.0
1,150,8.0
1,151,8.0
1,152,8.0
1,153,8.0
1,154,8.0
1,155,8.0
1,156,8.0
1,157,8.0
1,158,8.0
1,159,8.0
1,160,8.0
1,161,8.0
1,162,8.0
1,163,8.0
1,164,8.0
1,165,8.0
1,166,8.0
1,167,8.0
2,0,2.0
2,1,2.0
2,2,2.0
2,3,2.0
2,4,2.0
2,5,2.0
2,6,2.0
2,7,2.0
2,8,2.0
2,9,2.0
2,10,2.0
2,11,2.0
2,12,2.0
2,13,2.0
2,14,2.0
2,15,2.0
2,16,2.0
2,17,2.0
2,18,2.0
2,19,2.0
2,20,2.0
2,21,2.0
2,22,2.0
2,23,2.0
2,24,2.0
2,25,2.0
2,26,2.0
2,27,2.0
2,28,2.0
2,29,2.0
2,30,2.0
2,31,2.0
2,32,2.0
2,33,2.0
2,34,2.0
2,35,2.0
2,36,2.0
2,37,2.0
2,38,2.0
2,39,2.0
2,40,2.0
2,41,2.0
2,42,2.0
2,43,2.0
2,44,2.0
2,45,2.0
2,46,2.0
2,47,2.0
2,48,2.0
2,49,2.0
2,50,2.0
2,51,2.0
2,52,2.0
2,53,2.0
2,54,2.0
2,55,2.0
2,56,2.0
2,57,2.0
2,58,2.0
2,59,2.0
2,60,2.0
2,61,2.0
2,62,2.0
2,63,2.0
2,64,2.0
2,65,2.0
2,66,2.0
2,67,2.0
2,68,2.0
2,69,2.0
2,70,2.0
2,71,2.0
2,72,2.0
2,73,2.0
2,74,2.0
2,75,2.0
2,76,2.0
2,77,2.0
2,78,2.0
2,79,2.0
2,80,2.0
2,81,2.0
2,82,2.0
2,83,2.0
2,84,2.0
2,85,2.0
2,86,2.0
2,87,2.0
2,88,2.0
2,89,2.0
2,90,2.0
2,91,2.0
2,92,2.0
2,93,2.0
2,94,2.0
2,95,2.0
2,96,2.0
2,97,2.0
2,98,2.0
2,99,2.0
2,100,2.0
2,101,2.0
2,102,2.0
2,103,2.0
2,104,2.0
2,105,2.0
2,106,2.0
2,107,2.0
2,108,2.0
2,109,2.0
2,110,2.0
2,111,2.0
2,112,2.0
2,113,2.0
2,114,2.0
2,115,2.0
2,116,2.0
2,117,2.0
2,118,2.0
2,119,2.0
2,120,2.0
2,121,2.0
2,122,2.0
2,123,2.0
2,124,2.0
2,125,2.0
2,126,2.0
2,127,2.0
2,128,2.0
2,129,2.0
2,130,2.0
2,131,2.0
2,132,2.0
2,133,2.0
2,134,2.0
2,135,2.0
2,136,2.0
2,137,2.0
2,138,2.0
2,139,2.0
2,140,2.0
2,141,2.0
2,142,2.0
2,143,2.0
2,144,2.0
2,145,2.0
2,146,2.0
2,147,2.0
2,148,2.0
2,149,2.0
2,150,2.0
2,151,2.0
2,152,2.0
2,153,2.0
2,154,2.0
2,155,2.0
2,156,2.0
2,157,2.0
2,158,2.0
2,159,2.0
2,160,2.0
2,161,2.0
2,162,2.0
2,163,2.0
2,164,2.0
2,165,2.0
2,166,2.0
2,167,2.0
3,0,4.142857142857142
3,1,4.142857142857142
3,2,4.142857142857142
3,3,4.142857142857142
3,4,4.142857142857142
3,5,4.142857142857142
3,6,4.142857142857142
3,7,4.142857142857142
3,8,4.142857142857142
3,9,4.142857142857142
3,10,4.142857142857142
3,11,4.142857142857142
3,12,4.142857142857142
3,13,4.142857142857142
3,14,4.142857142857142
3,15,4.142857142857142
3,16,4.142857142857142
3,17,4.142857142857142
3,18,4.142857142857142
3,19,4.142857142857142
3,20,4.142857142857142
3,21,4.142857142857142
3,22,4.142857142857142
3,23,4.142857142857142
3,24,4.142857142857142
3,25,4.142857142857142
3,26,4.142857142857142
3,27,4.142857142857142
3,28,4.142857142857142
3,29,4.142857142857142
3,30,4.142857142857142
3,31,4.142857142857142
3,32,4.142857142857142
3,33,4.142857142857142
3,34,4.142857142857142
3,35,4.142857142857142
3,36,4.142857142857142
3,37,4.142857142857142
3,38,4.142857142857142
3,39,4.142857142857142
3,40,4.142857142857142
3,41,4.142857142857142
3,42,4.142857142857142
3,43,4.142857142857142
3,44,4.142857142857142
3,45,4.142857142857142
3,46,4.142857142857142
3,47,4.142857142857142
3,48,4.142857142857142
3,49,4.142857142857142
3,50,4.142857142857142
3,51,4.142857142857142
3,52,4.142857142857142
3,53,4.142857142857142
3,54,4.142857142857142
3,55,4.142857142857142
3,56,4.142857142857142
3,57,4.142857142857142
3,58,4.142857142857142
3,59,4.142857142857142
3,60,4.142857142857142
3,61,4.142857142857142
3,62,4.142857142857142
3,63,4.142857142857142
3,64,4.142857142857142
3,65,4.142857142857142
3,66,4.142857142857142
3,67,4.142857142857142
3,68,4.142857142857142
3,69,4.142857142857142
3,70,4.142857142857142
3,71,4.142857142857142
3,72,4.142857142857142
3,73,4.142857142857142
3,74,4.142857142857142
3,75,4.142857142857142
3,76,4.142857142857142
3,77,4.142857142857142
3,78,4.142857142857142
3,79,4.142857142857142
3,80,4.142857142857142
3,81,4.142857142857142
3,82,4.142857142857142
3,83,4.142857142857142
3,84,4.142857142857142
3,85,4.142857142857142
3,86,4.142857142857142
3,87,4.142857142857142
3,88,4.142857142857142
3,89,4.142857142857142
3,90,4.142857142857142
3,91,4.142857142857142
3,92,4.142857142857142
3,93,4.142857142857142
3,94,4.142857142857142
3,95,4.142857142857142
3,96,4.142857142857142
3,97,4.142857142857142
3,98,4.142857142857142
3,99,4.142857142857142
3,100,4.142857142857142
3,101,4.142857142857142
3,102,4.142857142857142
3,103,4.142857142857142
3,104,4.142857142857142
3,105,4.142857142857142
3,106,4.142857142857142
3,107,4.142857142857142
3,108,4.142857142857142
3,109,4.142857142857142
3,110,4.142857142857142
3,111,4.142857142857142
3,112,4.142857142857142
3,113,4.142857142857142
3,114,4.142857142857142
3,115,4.142857142857142
3,116,4.142857142857142
3,117,4.142857142857142
3,118,4.142857142857142
3,119,4.142857142857142
3,120,4.142857142857142
3,121,4.142857142857142
3,122,4.142857142857142
3,123,4.142857142857142
3,124,4.142857142857142
3,125,4.142857142857142
3,126,4.142857142857142
3,127,4.142857142857142
3,128,4.142857142857142
3,129,4.142857142857142
3,130,4.142857142857142
3,131,4.142857142857142
3,132,4.142857142857142
3,133,4.142857142857142
3,134,4.142857142857142
3,135,4.142857142857142
3,136,4.142857142857142
3,137,4.142857142857142
3,138,4.142857142857142
3,139,4.142857142857142
3,140,4.142857142857142
3,141,4.142857142857142
3,142,4.142857142857142
3,143,4.142857142857142
3,144,4.142857142857142
3,145,4.142857142857142
3,146,4.142857142857142
3,147,4.142857142857142
3,148,4.142857142857142
3,149,4.142857142857142
3,150,4.142857142857142
3,151,4.142857142857142
3,152,4.142857142857142
3,153,4.142857142857142
3,154,4.142857142857142
3,155,4.142857142857142
3,156,4.142857142857142
3,157,4.142857142857142
3,158,4.142857142857142
3,159,4.142857142857142
3,160,4.142857142857142
3,161,4.142857142857142
3,162,4.142857142857142
3,163,4.142857142857142
3,164,4.142857142857142
3,165,4.142857142857142
3,166,4.142857142857142
3,167,4.142857142857142
4,0,13.0
4,1,13.0
4,2,13.0
4,3,13.0
4,4,13.0
4,5,13.0
4,6,13.0
4,7,13.0
4,8,13.0
4,9,13.0
4,10,13.0
4,11,13.0
4,12,13.0
4,13,13.0
4,14,13.0
4,15,13.0
4,16,13.0
4,17,13.0
4,18,13.0
4,19,13.0
4,20,13.0
4,21,13.0
4,22,13.0
4,23,13.0
4,24,13.0
4,25,13.0
4,26,13.0
4,27,13.0
4,28,13.0
4,29,13.0
4,30,13.0
4,31,13.0
4,32,13.0
4,33,13.0
4,34,13.0
4,35,13.0
4,36,13.0
4,37,13.0
4,38,13.0
4,39,13.0
4,40,13.0
4,41,13.0
4,42,13.0
4,43,13.0
4,44,13.0
4,45,13.0
4,46,13.0
4,47,13.0
4,48,13.0
4,49,13.0
4,50,13.0
4,51,13.0
4,52,13.0
4,53,13.0
4,54,13.0
4,55,13.0
4,56,13.0
4,57,13.0
4,58,13.0
4,59,13.0
4,60,13.0
4,61,13.0
4,62,13.0
4,63,13.0
4,64,13.0
4,65,13.0
4,66,13.0
4,67,13.0
4,68,13.0
4,69,13.0
4,70,13.0
4,71,13.0
4,72,13.0
4,73,13.0
4,74,13.0
4,75,13.0
4,76,13.0
4,77,13.0
4,78,13.0
4,79,13.0
4,80,13.0
4,81,13.0
4,82,13.0
4,83,13.0
4,84,13.0
4,85,13.0
4,86,13.0
4,87,13.0
4,88,13.0
4,89,13.0
4,90,13.0
4,91,13.0
4,92,13.0
4,93,13.0
4,94,13.0
4,95,13.0
4,96,13.0
4,97,13.0
4,98,13.0
4,99,13.0
4,100,13.0
4,101,13.0
4,102,13.0
4,103,13.0
4,104,13.0
4,105,13.0
4,106,13.0
4,107,13.0
4,108,13.0
4,109,13.0
4,110,13.0
4,111,13.0
4,112,13.0
4,113,13.0
4,114,13.0
4,115,13.0
4,116,13.0
4,117,13.0
4,118,13.0
4,119,13.0
4,120,13.0
4,121,13.0
4,122,13.0
4,123,13.0
4,124,13.0
4,125,13.0
4,126,13.0
4,127,13.0
4,128,13.0
4,129,13.0
4,130,13.0
4,131,13.0
4,132,13.0
4,133,13.0
4,134,13.0
4,135,13.0
4,136,13.0
4,137,13.0
4,138,13.0
4,139,13.0
4,140,13.0
4,141,13.0
4,142,13.0
4,143,13.0
4,144,13.0
4,145,13.0
4,146,13.0
4,147,13.0
4,148,13.0
4,149,13.0
4,150,13.0
4,151,13.0
4,152,13.0
4,153,13.0
4,154,13.0
4,155,13.0
4,156,13.0
4,157,13.0
4,158,13.0
4,159,13.0
4,160,13.0
4,161,13.0
4,162,13.0
4,163,13.0
4,164,13.0
4,165,13.0
4,166,13.0
4,167,13.0
5,0,8.0
5,1,8.0
5,2,8.0
5,3,8.0
5,4,8.0
5,5,8.0
5,6,8.0
5,7,8.0
5,8,8.0
5,9,8.0
5,10,8.0
5,11,8.0
5,12,8.0
5,13,8.0
5,14,8.0
5,15,8.0
5,16,8.0
5,17,8.0
5,18,8.0
5,19,8.0
5,20,8.0
5,21,8.0
5,22,8.0
5,23,8.0
5,24,8.0
5,25,8.0
5,26,8.0
5,27,8.0
5,28,8.0
5,29,8.0
5,30,8.0
5,31,8.0
5,32,8.0
5,33,8.0
5,34,8.0
5,35,8.0
5,36,8.0
5,37,8.0
5,38,8.0
5,39,8.0
5,40,8.0
5,41,8.0
5,42,8.0
5,43,8.0
5,44,8.0
5,45,8.0
5,46,8.0
5,47,8.0
5,48,8.0
5,49,8.0
5,50,8.0
5,51,8.0
5,52,8.0
5,53,8.0
5,54,8.0
5,55,8.0
5,56,8.0
5,57,8.0
5,58,8.0
5,59,8.0
5,60,8.0
5,61,8.0
5,62,8.0
5,63,8.0
5,64,8.0
5,65,8.0
5,66,8.0
5,67,8.0
5,68,8.0
5,69,8.0
5,70,8.0
5,71,8.0
5,72,8.0
5,73,8.0
5,74,8.0
5,75,8.0
5,76,8.0
5,77,8.0
5,78,8.0
5,79,8.0
5,80,8.0
5,81,8.0
5,82,8.0
5,83,8.0
5,84,8.0
5,85,8.0
5,86,8.0
5,87,8.0
5,88,8.0
5,89,8.0
5,90,8.0
5,91,8.0
5,92,8.0
5,93,8.0
5,94,8.0
5,95,8.0
5,96,8.0
5,97,8.0
5,98,8.0
5,99,8.0
5,100,8.0
5,101,8.0
5,102,8.0
5,103,8.0
5,104,8.0
5,105,8.0
5,106,8.0
5,107,8.0
5,108,8.0
5,109,8.0
5,110,8.0
5,111,8.0
5,112,8.0
5,113,8.0
5,114,8.0
5,115,8.0
5,116,8.0
5,117,8.0
5,118,8.0
5,119,8.0
5,120,8.0
5,121,8.0
5,122,8.0
5,123,8.0
5,124,8.0
5,125,8.0
5,126,8.0
5,127,8.0
5,128,8.0
5,129,8.0
5,130,8.0
5,131,8.0
5,132,8.0
5,133,8.0
5,134,8.0
5,135,8.0
5,136,8.0
5,137,8.0
5,138,8.0
5,139,8.0
5,140,8.0
5,141,8.0
5,142,8.0
5,143,8.0
5,144,8.0
5,145,8.0
5,146,8.0
5,147,8.0
5,148,8.0
5,149,8.0
5,150,8.0
5,151,8.0
5,152,8.0
5,153,8.0
5,154,8.0
5,155,8.0
5,156,8.0
5,157,8.0
5,158,8.0
5,159,8.0
5,160,8.0
5,161,8.0
5,162,8.0
5,163,8.0
5,164,8.0
5,165,8.0
5,166,8.0
5,167,8.0
6,0,3.0
6,1,3.0
6,2,3.0
6,3,3.0
6,4,3.0
6,5,3.0
6,6,3.0
6,7,3.0
6,8,3.0
6,9,3.0
6,10,3.0
6,11,3.0
6,12,3.0
6,13,3.0
6,14,3.0
6,15,3.0
6,16,3.0
6,17,3.0
6,18,3.0
6,19,3.0
6,20,3.0
6,21,3.0
6,22,3.0
6,23,3.0
6,24,3.0
6,25,3.0
6,26,3.0
6,27,3.0
6,28,3.0
6,29,3.0
6,30,3.0
6,31,3.0
6,32,3.0
6,33,3.0
6,34,3.0
6,35,3.0
6,36,3.0
6,37,3.0
6,38,3.0
6,39,3.0
6,40,3.0
6,41,3.0
6,42,3.0
6,43,3.0
6,44,3.0
6,45,3.0
6,46,3.0
6,47,3.0
6,48,3.0
6,49,3.0
6,50,3.0
6,51,3.0
6,52,3.0
6,53,3.0
6,54,3.0
6,55,3.0
6,56,3.0
6,57,3.0
6,58,3.0
6,59,3.0
6,60,3.0
6,61,3.0
6,62,3.0
6,63,3.0
6,64,3.0
6,65,3.0
6,66,3.0
6,67,3.0
6,68,3.0
6,69,3.0
6,70,3.0
6,71,3.0
6,72,3.0
6,73,3.0
6,74,3.0
6,75,3.0
6,76,3.0
6,77,3.0
6,78,3.0
6,79,3.0
6,80,3.0
6,81,3.0
6,82,3.0
6,83,3.0
6,84,3.0
6,85,3.0
6,86,3.0
6,87,3.0
6,88,3.0
6,89,3.0
6,90,3.0
6,91,3.0
6,92,3.0
6,93,3.0
6,94,3.0
6,95,3.0
6,96,3.0
6,97,3.0
6,98,3.0
6,99,3.0
6,100,3.0
6,101,3.0
6,102,3.0
6,103,3.0
6,104,3.0
6,105,3.0
6,106,3.0
6,107,3.0
6,108,3.0
6,109,3.0
6,110,3.0
6,111,3.0
6,112,3.0
6,113,3.0
6,114,3.0
6,115,3.0
6,116,3.0
6,117,3.0
6,118,3.0
6,119,3.0
6,120,3.0
6,121,3.0
6,122,3.0
6,123,3.0
6,124,3.0
6,125,3.0
6,126,3.0
6,127,3.0
6,128,3.0
6,129,3.0
6,130,3.0
6,131,3.0
6,132,3.0
6,133,3.0
6,134,3.0
6,135,3.0
6,136,3.0
6,137,3.0
6,138,3.0
6,139,3.0
6,140,3.0
6,141,3.0
6,142,3.0
6,143,3.0
6,144,3.0
6,145,3.0
6,146,3.0
6,147,3.0
6,148,3.0
6,149,3.0
6,150,3.0
6,151,3.0
6,152,3.0
6,153,3.0
6,154,3.0
6,155,3.0
6,156,3.0
6,157,3.0
6,158,3.0
6,159,3.0
6,160,3.0
6,161,3.0
6,162,3.0
6,163,3.0
6,164,3.0
6,165,3.0
6,166,3.0
6,167,3.0
7,0,4.0
7,1,4.0
7,2,4.0
7,3,4.0
7,4,4.0
7,5,4.0
7,6,4.0
7,7,4.0
7,8,4.0
7,9,4.0
7,10,4.0
7,11,4.0
7,12,4.0
7,13,4.0
7,14,4.0
7,15,4.0
7,16,4.0
7,17,4.0
7,18,4.0
7,19,4.0
7,20,4.0
7,21,4.0
7,22,4.0
7,23,4.0
7,24,4.0
7,25,4.0
7,26,4.0
7,27,4.0
7,28,4.0
7,29,4.0
7,30,4.0
7,31,4.0
7,32,4.0
7,33,4.0
7,34,4.0
7,35,4.0
7,36,4.0
7,37,4.0
7,38,4.0
7,39,4.0
7,40,4.0
7,41,4.0
7,42,4.0
7,43,4.0
7,44,4.0
7,45,4.0
7,46,4.0
7,47,4.0
7,48,4.0
7,49,4.0
7,50,4.0
7,51,4.0
7,52,4.0
7,53,4.0
7,54,4.0
7,55,4.0
7,56,4.0
7,57,4.0
7,58,4.0
7,59,4.0
7,60,4.0
7,61,4.0
7,62,4.0
7,63,4.0
7,64,4.0
7,65,4.0
7,66,4.0
7,67,4.0
7,68,4.0
7,69,4.0
7,70,4.0
7,71,4.0
7,72,4.0
7,73,4.0
7,74,4.0
7,75,4.0
7,76,4.0
7,77,4.0
7,78,4.0
7,79,4.0
7,80,4.0
7,81,4.0
7,82,4.0
7,83,4.0
7,84,4.0
7,85,4.0
7,86,4.0
7,87,4.0
7,88,4.0
7,89,4.0
7,90,4.0
7,91,4.0
7,92,4.0
7,93,4.0
7,94,4.0
7,95,4.0
7,96,4.0
7,97,4.0
7,98,4.0
7,99,4.0
7,100,4.0
7,101,4.0
7,102,4.0
7,103,4.0
7,104,4.0
7,105,4.0
7,106,4.0
7,107,4.0
7,108,4.0
7,109,4.0
7,110,4.0
7,111,4.0
7,112,4.0
7,113,4.0
7,114,4.0
7,115,4.0
7,116,4.0
7,117,4.0
7,118,4.0
7,119,4.0
7,120,4.0
7,121,4.0
7,122,4.0
7,123,4.0
7,124,4.0
7,125,4.0
7,126,4.0
7,127,4.0
7,128,4.0
7,129,4.0
7,130,4.0
7,131,4.0
7,132,4.0
7,133,4.0
7,134,4.0
7,135,4.0
7,136,4.0
7,137,4.0
7,138,4.0
7,139,4.0
7,140,4.0
7,141,4.0
7,142,4.0
7,143,4.0
7,144,4.0
7,145,4.0
7,146,4.0
7,147,4.0
7,148,4.0
7,149,4.0
7,150,4.0
7,151,4.0
7,152,4.0
7,153,4.0
7,154,4.0
7,155,4.0
7,156,4.0
7,157,4.0
7,158,4.0
7,159,4.0
7,160,4.0
7,161,4.0
7,162,4.0
7,163,4.0
7,164,4.0
7,165,4.0
7,166,4.0
7,167,4.0
