period_id,TimeStep,weight
3,124,6.0
3,125,6.0
3,126,6.0
3,127,6.0
3,128,6.0
3,129,6.0
3,130,6.0
3,131,6.0
3,132,6.0
3,133,6.0
3,134,6.0
3,135,6.0
3,136,6.0
3,137,6.0
3,138,6.0
3,139,6.0
3,140,6.0
3,141,6.0
3,142,6.0
3,143,6.0
3,144,6.0
3,145,6.0
3,146,6.0
3,147,6.0
3,148,6.0
3,149,6.0
3,150,6.0
3,151,6.0
3,152,6.0
3,153,6.0
3,154,6.0
3,155,6.0
3,156,6.0
3,157,6.0
3,158,6.0
3,159,6.0
3,160,6.0
3,161,6.0
3,162,6.0
3,163,6.0
3,164,6.0
3,165,6.0
3,166,6.0
3,167,6.0
4,0,6.0
4,1,6.0
4,2,6.0
4,3,6.0
4,4,6.0
4,5,6.0
4,6,6.0
4,7,6.0
4,8,6.0
4,9,6.0
4,10,6.0
4,11,6.0
4,12,6.0
4,13,6.0
4,14,6.0
4,15,6.0
4,16,6.0
4,17,6.0
4,18,6.0
4,19,6.0
4,20,6.0
4,21,6.0
4,22,6.0
4,23,6.0
4,24,6.0
4,25,6.0
4,26,6.0
4,27,6.0
4,28,6.0
4,29,6.0
4,30,6.0
4,31,6.0
4,32,6.0
4,33,6.0
4,34,6.0
4,35,6.0
4,36,6.0
4,37,6.0
4,38,6.0
4,39,6.0
4,40,6.0
4,41,6.0
4,42,6.0
4,43,6.0
4,44,6.0
4,45,6.0
4,46,6.0
4,47,6.0
4,48,6.0
4,49,6.0
4,50,6.0
4,51,6.0
4,52,6.0
4,53,6.0
4,54,6.0
4,55,6.0
4,56,6.0
4,57,6.0
4,58,6.0
4,59,6.0
4,60,6.0
4,61,6.0
4,62,6.0
4,63,6.0
4,64,6.0
4,65,6.0
4,66,6.0
4,67,6.0
4,68,6.0
4,69,6.0
4,70,6.0
4,71,6.0
4,72,6.0
4,73,6.0
4,74,6.0
4,75,6.0
4,76,6.0
4,77,6.0
4,78,6.0
4,79,6.0
4,80,6.0
4,81,6.0
4,82,6.0
4,83,6.0
4,84,6.0
4,85,6.0
4,86,6.0
4,87,6.0
4,88,6.0
4,89,6.0
4,90,6.0
4,91,6.0
4,92,6.0
4,93,6.0
4,94,6.0
4,95,6.0
4,96,6.0
4,97,6.0
4,98,6.0
4,99,6.0
4,100,6.0
4,101,6.0
4,102,6.0
4,103,6.0
4,104,6.0
4,105,6.0
4,106,6.0
4,107,6.0
4,108,6.0
4,109,6.0
4,110,6.0
4,111,6.0
4,112,6.0
4,113,6.0
4,114,6.0
4,115,6.0
4,116,6.0
4,117,6.0
4,118,6.0
4,119,6.0
4,120,6.0
4,121,6.0
4,122,6.0
4,123,6.0
4,124,6.0
4,125,6.0
4,126,6.0
4,127,6.0
4,128,6.0
4,129,6.0
4,130,6.0
4,131,6.0
4,132,6.0
4,133,6.0
4,134,6.0
4,135,6.0
4,136,6.0
4,137,6.0
4,138,6.0
4,139,6.0
4,140,6.0
4,141,6.0
4,142,6.0
4,143,6.0
4,144,6.0
4,145,6.0
4,146,6.0
4,147,6.0
4,148,6.0
4,149,6.0
4,150,6.0
4,151,6.0
4,152,6.0
4,153,6.0
4,154,6.0
4,155,6.0
4,156,6.0
4,157,6.0
4,158,6.0
4,159,6.0
4,160,6.0
4,161,6.0
4,162,6.0
4,163,6.0
4,164,6.0
4,165,6.0
4,166,6.0
4,167,6.0
5,0,4.0
5,1,4.0
5,2,4.0
5,3,4.0
5,4,4.0
5,5,4.0
5,6,4.0
5,7,4.0
5,8,4.0
5,9,4.0
5,10,4.0
5,11,4.0
5,12,4.0
5,13,4.0
5,14,4.0
5,15,4.0
5,16,4.0
5,17,4.0
5,18,4.0
5,19,4.0
5,20,4.0
5,21,4.0
5,22,4.0
5,23,4.0
5,24,4.0
5,25,4.0
5,26,4.0
5,27,4.0
5,28,4.0
5,29,4.0
5,30,4.0
5,31,4.0
5,32,4.0
5,33,4.0
5,34,4.0
5,35,4.0
5,36,4.0
5,37,4.0
5,38,4.0
5,39,4.0
5,40,4.0
5,41,4.0
5,42,4.0
5,43,4.0
5,44,4.0
5,45,4.0
5,46,4.0
5,47,4.0
5,48,4.0
5,49,4.0
5,50,4.0
5,51,4.0
5,52,4.0
5,53,4.0
5,54,4.0
5,55,4.0
5,56,4.0
5,57,4.0
5,58,4.0
5,59,4.0
5,60,4.0
5,61,4.0
5,62,4.0
5,63,4.0
5,64,4.0
5,65,4.0
5,66,4.0
5,67,4.0
5,68,4.0
5,69,4.0
5,70,4.0
5,71,4.0
5,72,4.0
5,73,4.0
5,74,4.0
5,75,4.0
5,76,4.0
5,77,4.0
5,78,4.0
5,79,4.0
5,80,4.0
5,81,4.0
5,82,4.0
5,83,4.0
5,84,4.0
5,85,4.0
5,86,4.0
5,87,4.0
5,88,4.0
5,89,4.0
5,90,4.0
5,91,4.0
5,92,4.0
5,93,4.0
5,94,4.0
5,95,4.0
5,96,4.0
5,97,4.0
5,98,4.0
5,99,4.0
5,100,4.0
5,101,4.0
5,102,4.0
5,103,4.0
5,104,4.0
5,105,4.0
5,106,4.0
5,107,4.0
5,108,4.0
5,109,4.0
5,110,4.0
5,111,4.0
5,112,4.0
5,113,4.0
5,114,4.0
5,115,4.0
5,116,4.0
5,117,4.0
5,118,4.0
5,119,4.0
5,120,4.0
5,121,4.0
5,122,4.0
5,123,4.0
5,124,4.0
5,125,4.0
5,126,4.0
5,127,4.0
5,128,4.0
5,129,4.0
5,130,4.0
5,131,4.0
5,132,4.0
5,133,4.0
5,134,4.0
5,135,4.0
5,136,4.0
5,137,4.0
5,138,4.0
5,139,4.0
5,140,4.0
5,141,4.0
5,142,4.0
5,143,4.0
5,144,4.0
5,145,4.0
5,146,4.0
5,147,4.0
5,148,4.0
5,149,4.0
5,150,4.0
5,151,4.0
5,152,4.0
5,153,4.0
5,154,4.0
5,155,4.0
5,156,4.0
5,157,4.0
5,158,4.0
5,159,4.0
5,160,4.0
5,161,4.0
5,162,4.0
5,163,4.0
5,164,4.0
5,165,4.0
5,166,4.0
5,167,4.0
6,0,4.0
6,1,4.0
6,2,4.0
6,3,4.0
6,4,4.0
6,5,4.0
6,6,4.0
6,7,4.0
6,8,4.0
6,9,4.0
6,10,4.0
6,11,4.0
6,12,4.0
6,13,4.0
6,14,4.0
6,15,4.0
6,16,4.0
6,17,4.0
6,18,4.0
6,19,4.0
6,20,4.0
6,21,4.0
6,22,4.0
6,23,4.0
6,24,4.0
6,25,4.0
6,26,4.0
6,27,4.0
6,28,4.0
6,29,4.0
6,30,4.0
6,31,4.0
6,32,4.0
6,33,4.0
6,34,4.0
6,35,4.0
6,36,4.0
6,37,4.0
6,38,4.0
6,39,4.0
6,40,4.0
6,41,4.0
6,42,4.0
6,43,4.0
6,44,4.0
6,45,4.0
6,46,4.0
6,47,4.0
6,48,4.0
6,49,4.0
6,50,4.0
6,51,4.0
6,52,4.0
6,53,4.0
6,54,4.0
6,55,4.0
6,56,4.0
6,57,4.0
6,58,4.0
6,59,4.0
6,60,4.0
6,61,4.0
6,62,4.0
6,63,4.0
6,64,4.0
6,65,4.0
6,66,4.0
6,67,4.0
6,68,4.0
6,69,4.0
6,70,4.0
6,71,4.0
6,72,4.0
6,73,4.0
6,74,4.0
6,75,4.0
6,76,4.0
6,77,4.0
6,78,4.0
6,79,4.0
6,80,4.0
6,81,4.0
6,82,4.0
6,83,4.0
6,84,4.0
6,85,4.0
6,86,4.0
6,87,4.0
6,88,4.0
6,89,4.0
6,90,4.0
6,91,4.0
6,92,4.0
6,93,4.0
6,94,4.0
6,95,4.0
6,96,4.0
6,97,4.0
6,98,4.0
6,99,4.0
6,100,4.0
6,101,4.0
6,102,4.0
6,103,4.0
6,104,4.0
6,105,4.0
6,106,4.0
6,107,4.0
6,108,4.0
6,109,4.0
6,110,4.0
6,111,4.0
6,112,4.0
6,113,4.0
6,114,4.0
6,115,4.0
6,116,4.0
6,117,4.0
6,118,4.0
6,119,4.0
6,120,4.0
6,121,4.0
6,122,4.0
6,123,4.0
6,124,4.0
6,125,4.0
6,126,4.0
6,127,4.0
6,128,4.0
6,129,4.0
6,130,4.0
6,131,4.0
6,132,4.0
6,133,4.0
6,134,4.0
6,135,4.0
6,136,4.0
6,137,4.0
6,138,4.0
6,139,4.0
6,140,4.0
6,141,4.0
6,142,4.0
6,143,4.0
6,144,4.0
6,145,4.0
6,146,4.0
6,147,4.0
6,148,4.0
6,149,4.0
6,150,4.0
6,151,4.0
6,152,4.0
6,153,4.0
6,154,4.0
6,155,4.0
6,156,4.0
6,157,4.0
6,158,4.0
6,159,4.0
6,160,4.0
6,161,4.0
6,162,4.0
6,163,4.0
6,164,4.0
6,165,4.0
6,166,4.0
6,167,4.0
7,0,3.0
7,1,3.0
7,2,3.0
7,3,3.0
7,4,3.0
7,5,3.0
7,6,3.0
7,7,3.0
7,8,3.0
7,9,3.0
7,10,3.0
7,11,3.0
7,12,3.0
7,13,3.0
7,14,3.0
7,15,3.0
7,16,3.0
7,17,3.0
7,18,3.0
7,19,3.0
7,20,3.0
7,21,3.0
7,22,3.0
7,23,3.0
7,24,3.0
7,25,3.0
7,26,3.0
7,27,3.0
7,28,3.0
7,29,3.0
7,30,3.0
7,31,3.0
7,32,3.0
7,33,3.0
7,34,3.0
7,35,3.0
7,36,3.0
7,37,3.0
7,38,3.0
7,39,3.0
7,40,3.0
7,41,3.0
7,42,3.0
7,43,3.0
7,44,3.0
7,45,3.0
7,46,3.0
7,47,3.0
7,48,3.0
7,49,3.0
7,50,3.0
7,51,3.0
7,52,3.0
7,53,3.0
7,54,3.0
7,55,3.0
7,56,3.0
7,57,3.0
7,58,3.0
7,59,3.0
7,60,3.0
7,61,3.0
7,62,3.0
7,63,3.0
7,64,3.0
7,65,3.0
7,66,3.0
7,67,3.0
7,68,3.0
7,69,3.0
7,70,3.0
7,71,3.0
7,72,3.0
7,73,3.0
7,74,3.0
7,75,3.0
7,76,3.0
7,77,3.0
7,78,3.0
7,79,3.0
7,80,3.0
7,81,3.0
7,82,3.0
7,83,3.0
7,84,3.0
7,85,3.0
7,86,3.0
7,87,3.0
7,88,3.0
7,89,3.0
7,90,3.0
7,91,3.0
7,92,3.0
7,93,3.0
7,94,3.0
7,95,3.0
7,96,3.0
7,97,3.0
7,98,3.0
7,99,3.0
7,100,3.0
7,101,3.0
7,102,3.0
7,103,3.0
7,104,3.0
7,105,3.0
7,106,3.0
7,107,3.0
7,108,3.0
7,109,3.0
7,110,3.0
7,111,3.0
7,112,3.0
7,113,3.0
7,114,3.0
7,115,3.0
7,116,3.0
7,117,3.0
7,118,3.0
7,119,3.0
7,120,3.0
7,121,3.0
7,122,3.0
7,123,3.0
7,124,3.0
7,125,3.0
7,126,3.0
7,127,3.0
7,128,3.0
7,129,3.0
7,130,3.0
7,131,3.0
7,132,3.0
7,133,3.0
7,134,3.0
7,135,3.0
7,136,3.0
7,137,3.0
7,138,3.0
7,139,3.0
7,140,3.0
7,141,3.0
7,142,3.0
7,143,3.0
7,144,3.0
7,145,3.0
7,146,3.0
7,147,3.0
7,148,3.0
7,149,3.0
7,150,3.0
7,151,3.0
7,152,3.0
7,153,3.0
7,154,3.0
7,155,3.0
7,156,3.0
7,157,3.0
7,158,3.0
7,159,3.0
7,160,3.0
7,161,3.0
7,162,3.0
7,163,3.0
7,164,3.0
7,165,3.0
7,166,3.0
7,167,3.0
